id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34701126,Cozy house on a hill (10 min from downtown),61173584,Jack & Jess,,District 24,36.14919,-86.8259,Entire home/apt,150,2,9,2019-09-01,2.29,1,0
34702290,BRAND NEW! Chic & Vibrant Home Mins. From Downtown,59325295,Kishan,,District 2,36.19743,-86.77829,Entire home/apt,175,1,5,2019-08-25,1.44,2,310
34710250,⭐️360° Rooftop View⭐️Keyless⭐️Parking for 4⭐️W/D,88959664,Julian,,District 8,36.21814,-86.74138,Entire home/apt,190,1,12,2019-09-15,3.46,4,146
34712352,Historic East Nashville home close to 5 Points,8794870,Frank,,District 6,36.18698,-86.74503,Entire home/apt,161,2,12,2019-08-24,3.08,4,248
34713559,!5 Simple Steps To Broadway!! Live Music And Fun!,160474948,Chad,,District 19,36.16897,-86.78424,Entire home/apt,39,1,35,2019-09-14,8.33,24,103
34713766,!!To Close To Broadway!! Live music and fun!!,160474948,Chad,,District 19,36.1674,-86.78373,Entire home/apt,39,1,31,2019-09-08,7.44,24,130
34713958,Downtown Apartment in the Heart of Music City,261832524,Amber,,District 19,36.15423,-86.77469,Entire home/apt,149,1,28,2019-09-14,7.18,2,104
34714412,12 Great place to gather new home in Berry Hill,69852847,Ludovit,,District 25,36.101,-86.77158,Entire home/apt,200,1,4,2019-09-15,1.56,12,345
34714587,Rock & Roll Near Music Row and Downtown!!,261838552,Andy,,District 17,36.13599,-86.78644,Entire home/apt,315,1,16,2019-09-08,3.78,1,227
34714656,!!Nashville Southern Charm!! LIVE MUSIC and FUN!!,173990198,Niecey And Nick,,District 19,36.16889,-86.78389,Entire home/apt,39,1,25,2019-09-16,6.10,13,95
34714797,Downtown 1BR Apartment in the Heart of Music City,261832524,Amber,,District 19,36.15528,-86.77567,Entire home/apt,149,1,12,2019-09-18,7.20,2,67
34715052,!!Southern Oasis Studio!! LIVE MUSIC AND FUN!!,173990198,Niecey And Nick,,District 19,36.16799,-86.78388,Entire home/apt,39,1,28,2019-09-15,6.72,13,76
34715200,Brand new home 10 minutes south of Broadway,184150,Fatima,,District 16,36.11917,-86.73889,Entire home/apt,200,2,0,,,3,57
34715381,!!Nashvegas hidden Gem!! LIVE MUSIC AND FUN!!!,181296082,Rebecca,,District 19,36.16668,-86.78312,Entire home/apt,39,1,30,2019-09-15,7.20,5,79
34717873,Cozy Downtown Studio Apartment,15861314,Christian,,District 19,36.15434,-86.77424,Entire home/apt,200,1,3,2019-09-14,2.65,1,100
34719626,Bedroom with private bathroom near downtown,174441902,Ronald,,District 21,36.17575,-86.80648,Private room,34,30,2,2019-08-31,0.72,9,60
34721217,New Music City Townhouse,261888294,Michaela,,District 17,36.12958,-86.78097,Entire home/apt,270,2,13,2019-09-15,3.75,1,24
34741915,Serenity Now! Peaceful retreat blocks off Broadway,69562152,Scot,,District 19,36.15405,-86.77652,Entire home/apt,800,1,14,2019-09-15,3.44,3,58
34743636,NEWLY furnished 1 bed oasis 5 blocks to Broadway!,69562152,Scot,,District 19,36.15575,-86.77563,Entire home/apt,500,1,27,2019-09-18,7.64,3,128
34746314,BRAND NEW ✹ SUPER ROOFTOP ✹ GULCH LIVING ✹ 7 BEDS,101426897,Host Extraordinaires,,District 19,36.15331,-86.78974,Entire home/apt,999,2,18,2019-09-10,4.32,109,263
34747227,Charming Private Nashville Suite with Fireplace,15771164,Lindsey,,District 27,36.06199,-86.72745,Entire home/apt,85,2,2,2019-06-01,0.51,1,0
34749149,3 Story House w/City Views ONLY 2 Miles to Downtown,190105433,Dirk And Maria,,District 5,36.19612,-86.77336,Entire home/apt,299,2,14,2019-09-02,4.04,3,332
34751239,Cool East Nashville Duplex- GREAT LOCATION!,45757949,Tara,,District 7,36.20421,-86.72791,Entire home/apt,80,2,23,2019-09-17,6.57,1,128
34751676,The Perch,1819471,Samantha,,District 7,36.21426,-86.71739,Entire home/apt,100,2,11,2019-08-25,2.64,2,73
34752319,Music City Hideout,1819471,Samantha,,District 7,36.21383,-86.71603,Entire home/apt,100,2,10,2019-09-01,2.40,2,65
34753230,Cool City Heights Condo,319913,Reservations,,District 21,36.15769,-86.81405,Entire home/apt,129,2,6,2019-08-25,1.75,42,333
34755689,Private bedroom and private bathroom in urban core,174441902,Ronald,,District 21,36.17574,-86.80643,Private room,33,30,1,2019-08-03,0.61,9,75
34771375,Little Green Downtown Retreat,169284087,Johnny,,District 19,36.1525,-86.75022,Entire home/apt,99,2,19,2019-09-15,5.14,1,129
34771559,Private room with kitchen and private bathroom,111228362,Omar,,District 1,36.22121,-86.82293,Private room,105,1,44,2019-09-15,11.00,1,50
34771934,Spunky Apartment 7 Minute Walk to Broadway!,164469174,Madison,,District 19,36.1546,-86.77601,Entire home/apt,176,2,6,2019-08-07,1.73,1,0
34773657,Adorable duplex located in East Nashville!,262214343,Karli,,District 7,36.20751,-86.72257,Entire home/apt,100,2,6,2019-09-08,1.62,1,1
34774715,FAMOUS MUSIC ROW- COMPLETE RENOVATION!,101426897,Host Extraordinaires,,District 19,36.15049,-86.79105,Entire home/apt,199,2,13,2019-09-05,3.75,109,301
34775033,Cozy Modern Room in East Nash,60133006,Christiana,,District 5,36.19626,-86.74361,Private room,150,2,1,2019-05-27,0.26,3,0
34776332,Luxury on Rudolph I - 2.4 Miles To Downtown,193981098,Jamie,,District 6,36.1802,-86.73984,Entire home/apt,599,2,2,2019-07-14,0.72,4,336
34776448,"iHeart Niido! 1 BR, 2 Blks to Broadway! (sleeps 4)",20847547,Jeanine,,District 19,36.15552,-86.7745,Entire home/apt,136,2,20,2019-09-14,6.82,1,96
34777155,Downtown Apartment Steps from Broadway!,79556192,Blake,,District 19,36.15564,-86.77476,Entire home/apt,150,2,10,2019-09-16,2.56,1,3
34778918,NEW- THE Spot in Nashville,262246914,David,,District 19,36.16927,-86.80275,Entire home/apt,25,1,4,2019-06-05,1.06,1,171
34780245,"Music City Symphony, Sleeps 10",319913,Reservations,,District 20,36.15723,-86.87274,Entire home/apt,392,2,0,,,42,326
34782167,"Music City Classic Rock, Great Location,Sleeps 10!",319913,Reservations,,District 20,36.15829,-86.87449,Entire home/apt,392,2,0,,,42,341
34783256,"Cool Jazz, Sleeps 10, Best Location!",319913,Reservations,,District 20,36.15769,-86.87247,Entire home/apt,392,2,2,2019-08-25,0.95,42,337
34783767,"Music City Soul, Sleeps 10",319913,Reservations,,District 20,36.15891,-86.87413,Entire home/apt,359,2,4,2019-08-19,1.50,42,328
34806904,The Humble House - Walk to 12 South or Belmont,17089891,Tom,,District 18,36.12059,-86.79467,Private room,125,3,2,2019-06-02,0.48,1,0
34811466,Modern Home with Rooftop Views of the Skyline!,253680904,Amanda,,District 5,36.19614,-86.77249,Entire home/apt,149,1,6,2019-09-01,1.73,20,341
34812924,Luxe ★ DOWNTOWN ★ 1 bedroom - walk to Broadway,14141580,Brandon,,District 19,36.15373,-86.77652,Entire home/apt,149,1,16,2019-09-15,4.71,1,35
34813313,New Listing! Woodbine Wonder - Near Downtown,106505883,TurnKey Vacation Rentals,,District 16,36.11217,-86.72701,Entire home/apt,139,2,1,2019-07-24,0.51,89,319
34814238,4BR/3BA Historic Cottage  (WestEnd/Vandy/Downtown),72385277,Larry,,District 18,36.14051,-86.81594,Entire home/apt,350,3,10,2019-09-02,2.56,1,253
34817227,Historic E. Nash Basement Studio-Mins to Downtown!,222387855,Olympus Property Management,,District 6,36.17468,-86.74765,Private room,108,2,4,2019-09-07,1.02,7,12
34817690,The Russell (Room 2:4) Grand Opening Low Prices,115218273,Anchor Rentals,,District 6,36.17455,-86.75632,Hotel room,240,1,4,2019-07-31,1.14,26,340
34818937,The Russell (2:8) -Superhost -LOW Opening PRICES!!,115218273,Anchor Rentals,,District 6,36.17506,-86.75729,Hotel room,240,1,8,2019-07-23,2.31,26,346
34818990,The Russell (3:2) Superhost- Low Opening Prices,115218273,Anchor Rentals,,District 6,36.17332,-86.75594,Hotel room,250,1,5,2019-08-11,1.44,26,349
34835890,1BR/1BA Modern Apt 2BLOCKS to Broadway *SLEEPS 4*,248523582,Kellie,,District 19,36.15521,-86.77639,Entire home/apt,175,1,13,2019-09-15,3.31,1,148
34836871,Spacious Home with Large Backyard,138323811,Jaree,,District 20,36.16473,-86.87083,Entire home/apt,159,2,8,2019-09-15,2.03,1,152
34837228,Spacious Room + Private Bathroom in Midtown,47826770,George,,District 21,36.15326,-86.80314,Private room,86,1,11,2019-09-17,4.29,1,64
34839427,MUSIC CITY MUSE - DOWNTOWN NASHVILLE!,253680904,Amanda,,District 17,36.14876,-86.76521,Entire home/apt,149,1,3,2019-07-14,0.87,20,126
34842257,Big Ole Time City Side Townhome!!,214115230,Brent,,District 19,36.15032,-86.72395,Entire home/apt,160,1,13,2019-08-26,3.45,8,210
34842310,Extra Vibes City Side!!!,214115230,Brent,,District 19,36.15176,-86.72413,Entire home/apt,150,1,15,2019-09-02,4.84,8,163
34855991,Cute Private Bed & Bathroom in East Nashville,3341612,Christina,,District 5,36.19711,-86.77012,Private room,100,1,11,2019-08-19,2.82,1,28
34859751,Preston Place 007 - East Nashville Luxury Townhome,30962240,Kevin,,District 5,36.20345,-86.74501,Entire home/apt,250,2,3,2019-07-28,0.77,17,325
34864242,Peachtree -perfectly located 1920s home- Woodbine,43038295,Caleb,,District 16,36.11881,-86.74016,Entire home/apt,102,3,9,2019-09-02,2.21,1,182
34868893,Downtown Nashville - Gulch with THE view!,92322876,Kimber,,District 19,36.15022,-86.78219,Entire home/apt,275,2,4,2019-09-02,1.03,1,0
